closure_row_id	phase3c_row_id	source_kind	source_file	obligation_classes	blocking_reason	target_disposition_path	disposition	v2_row_pointer	evidence	notes
P3F-CLOSURE-0001	L1-UNRES-DRIVER-REGIONS	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Stripped WCH host executable and compiler/SDK/link/signature deltas make whole-host-binary attribution disproportionate and outside target artifact gate.	Use bounded disassembly/xrefs for a concrete future driver feature; do not infer target-gate mismatch from host bytes.	RULED-OUT-OF-GATE	tmp/phase3f-evidence/agents/binary-analysis/host-t5/decision-record.tsv::P3F-T5-HOST-MACHO	tmp/phase3f-evidence/agents/binary-analysis/host-t5/decision-record.tsv::P3F-T5-HOST-MACHO	phase3c_status=OPEN;subject=GCC-DRIVER;closure_event=P3F-EVENT-0001;V2 driver functional regions and negative-space candidates map terminal; remaining host bytes are outside the gate.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0002	L1-UNRES-LTO-OBJECT	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Serialization/metadata divergence not attributed in driver lane.	Backend/LTO owner should attribute sections and expand corpus.	STILL-UNRESOLVED	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DECL-MAIN-NODE-FIELD-OR-ORDER	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DECL-MAIN-NODE-FIELD-OR-ORDER;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=ICF-HASH-INPUT-CAUSE;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DEBUG-STATEMENT-FRONTIER-ORIGIN	phase3c_status=OPEN;subject=L1-FEAT-LTO-OBJECT;closure_event=P3F-EVENT-2046;Three bounded slim-LTO attribution questions remain unresolved; no terminal container-only conclusion is projected.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0003	L1-UNRES-SECONDARY-DRIFT	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	No byte copies of the four frozen prestate binaries were found.	Primary owner may use its pre-drift snapshot; otherwise preserve unresolved.	SUPERSEDED-BY-V2	tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS	tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS;tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-CONTROL-WCH;tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-CONTROL-UPSTREAM-P2;tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-CONTROL-UPSTREAM-MATCHED	phase3c_status=OPEN;subject=BINUTILS-AS/LD/OBJCOPY/READELF:OURS;closure_event=P3F-EVENT-2110;Immutable V2 and all controls are rehashed exact; historical missing originals are not reused.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0004	L1-UNRES-ZSTD-GAP	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Build configuration and packaging omitted upstream-supported capability.	Enable binutils with exported zstd flags, propagate ZSTD_LIBS to BFD consumers, rebuild GCC against that assembler, package both dylibs loader-relatively.	RECLASSIFIED-GAP	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L1-FEAT-ZSTD	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L1-FEAT-ZSTD	phase3c_status=OPEN;subject=L1-FEAT-ZSTD;closure_event=P3F-EVENT-0004;V2 terminal feature and driver/L4 reruns confirm the carried zstd GAP.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0005	L2-UNR-ERRATA-UNIVERSAL	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Only bounded generic peripheral/mask/DMA/poll forms were compiled	Create one minimal clean input per finding where semantics permit	RESOLVED-EXPLAINED	analysis/toolchain/phase3f-errata-audit-v2.tsv	analysis/toolchain/phase3f-errata-audit-v2.tsv;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/summary.json	phase3c_status=UNRESOLVED;subject=44-SEMANTIC-FINDINGS;closure_event=P3F-EVENT-0005;All 44 semantic findings are individually adjudicated; one positive fastirq/vector GAP remains explicit.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0006	L2-UNR-HOST-REGIONS	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	WCH binaries stripped and host compiler/linker/signature differences dominate	Function-level matching only if required beyond target-artifact gate	RULED-OUT-OF-GATE	tmp/phase3f-evidence/agents/binary-analysis/host-t5/decision-record.tsv::P3F-T5-HOST-MACHO	tmp/phase3f-evidence/agents/binary-analysis/host-t5/decision-record.tsv::P3F-T5-HOST-MACHO	phase3c_status=UNRESOLVED;subject=GCC-CC1,GCC-CC1PLUS,GCC-LTO1;closure_event=P3F-EVENT-0006;V2 cc1/cc1plus/lto1 functional mappings are terminal; remaining pure host bytes are outside the gate.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0007	L2-UNR-HPE-GENERATIONS	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Research documents V2 versus V3/V4/V5 hardware save/storage differences and compiler exposes no WCH CPU selector	Run on-device per HPE generation with caller/callee/FPR/FCSR liveness	RESOLVED-EXPLAINED	tmp/phase3f-evidence/agents/binary-analysis/tuning/full-static-summary.json	tmp/phase3f-evidence/agents/binary-analysis/tuning/full-static-summary.json;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-tune-pointer-fields-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-tune-table-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-vector-cost-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-pipeline-model-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/tuning/wch-pipeline-generated-summary.json;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/finding-comparison-ledger.tsv::L2-ERR-039;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/comparison-ledger.tsv::L2-ERR-039;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/residual-risk-ledger.tsv::RR-VECTOR-HPE-NESTING	phase3c_status=UNRESOLVED;subject=L2-BE-FASTIRQ-HPE-VARIANTS;closure_event=P3F-EVENT-0992;Bounded selectable tune/pipeline table, full tune-param/vector/alignment graph, and generated reservation vocabulary find no implicit QingKe generation profile; this does not assert whole DFA byte equality. L2-ERR-039 is exact at O0/O2/Os, while hardware nesting safety remains an out-of-gate residual risk.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0008	L2-UNR-LTO-SLIM	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Compressed .gnu.lto_.decls payload changes not semantically attributed	Decode GCC LTO stream or produce deterministic semantic dump	STILL-UNRESOLVED	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DECL-MAIN-NODE-FIELD-OR-ORDER	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DECL-MAIN-NODE-FIELD-OR-ORDER;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=ICF-HASH-INPUT-CAUSE;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv::unresolved_id=DEBUG-STATEMENT-FRONTIER-ORIGIN	phase3c_status=UNRESOLVED;subject=L2-FEAT-LTO;closure_event=P3F-EVENT-2047;Three bounded slim-LTO attribution questions remain unresolved; the .o byte GAP remains forwarded but is not fully attributed.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0009	L2-UNR-MATCHED	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger,matched-backend-control	Late availability and instruction to prioritize immutable completion	Future run against frozen copied matched toolchain	RESOLVED-EXACT	tmp/phase3f-evidence/matrix/backend/direct/comparisons.tsv	tmp/phase3f-evidence/matrix/backend/direct/comparisons.tsv	phase3c_status=NOT-RUN;subject=UPSTREAM-MATCHED-BACKEND;closure_event=P3F-EVENT-0009;Previously unavailable matched cc1/cc1plus/lto1 controls ran and are 12/12 exact across four sides.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0010	L2-UNR-OBJCOPY-DRIFT	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Frozen manifest hash no longer equals active path	Rerun .bin comparisons only from immutable copied toolchain after phase freeze	SUPERSEDED-BY-V2	tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS	tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS;tmp/phase3f-evidence/matrix/backend/matrix/comparisons.tsv	phase3c_status=UNRESOLVED;subject=L2-BE-DRIFT-OBJCOPY;closure_event=P3F-EVENT-2111;V2 comparisons use the immutable copied toolchain and three final ELF/BIN pairs are exact.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0011	L2-UNR-P2-DRIVER	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Unpatched upstream rejects XW in configured multilib generator	Retain direct controls; do not alias them to driver behavior	RESOLVED-EXPLAINED	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json	phase3c_status=OBSERVED-GAP;subject=UPSTREAM-P2-DRIVER;closure_event=P3F-EVENT-0011;P2/matched driver failure is explicitly retained as configured-multilib XW rejection; direct controls are not aliased to driver behavior.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0012	L3-UNR-001	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Active output was concurrently overwritten after L3-053; replay sha256 caf4a1f5... is source-proven but not the same Mach-O.	Rebuild or recover exact frozen T0 as bytes, verify hash 6af37017..., then run macho_intervals.py without using the post-drift active path.	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv::bin/riscv32-wch-elf-as	tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv::bin/riscv32-wch-elf-as	phase3c_status=UNRESOLVED;subject=FILE-000006;closure_event=P3F-EVENT-0012;The missing V1 assembler original is replaced by a dynamically rehashed/four-side-tiled V2 path.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0013	L3-UNR-002	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Active output was concurrently overwritten after L3-053; replay sha256 876178cc... is source-proven but not the same Mach-O.	Rebuild or recover exact frozen T0 objdump bytes, verify hash bf30bc4f..., then run macho_intervals.py.	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv::bin/riscv32-wch-elf-objdump	tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv::bin/riscv32-wch-elf-objdump	phase3c_status=UNRESOLVED;subject=FILE-000029;closure_event=P3F-EVENT-0013;The missing V1 objdump original is replaced by a dynamically rehashed/four-side-tiled V2 path.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0014	L3-UNR-003	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Prestate HEAD 258634dd/index 61232555 became HEAD 169c561d/index 918ab266; patch series grew 5 to 6 lines; active binary hashes changed.	Coordinator must freeze a new phase input or restore via a separately authorized workflow; do not reinterpret this lane as audit of the post-drift tree.	SUPERSEDED-BY-V2	tmp/phase3f-evidence/provenance/summary.txt	tmp/phase3f-evidence/provenance/summary.txt;tmp/phase3f-evidence/poststate/current/audit.tsv::finding_id=PS-FROZEN-OURS	phase3c_status=UNRESOLVED;subject=OURS-T0;closure_event=P3F-EVENT-2112;V1 drift is not reinterpreted; a new immutable GCC3+binutils6 V2 snapshot is proven exact.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
P3F-CLOSURE-0015	L3-UNR-004	UNRESOLVED-LEDGER	tmp/phase3c-evidence/unresolved.tsv	unresolved-ledger	Absolute source paths are embedded in diagnostic stderr, so raw stderr SHA is not a valid cross-run byte comparator.	If raw matched diagnostic equality is needed, rerun WCH/P2/MATCHED/replay sequentially in one frozen absolute work directory.	RESOLVED-EXPLAINED	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L3-FEAT-XW-DIAGNOSTICS	analysis/toolchain/phase3f-feature-coverage-v2.tsv::L3-FEAT-XW-DIAGNOSTICS;tmp/phase3f-evidence/matrix/gas/surface-matrix/probe-results.tsv::norvc-explicit	phase3c_status=UNRESOLVED;subject=UPSTREAM-MATCHED-DIAGNOSTICS;closure_event=P3F-EVENT-0015;Same absolute work-directory rerun restores comparability and leaves one terminal norvc diagnostic GAP.;Historical obligation terminally adjudicated against the frozen V2 snapshot; any referenced GAP remains forwarded.
