feature_id	component	source_anchor	wch_binary_anchor	static_delta	dynamic_probe	official_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	existing_patch	evt_or_phase3b_coverage	status	cause	confidence	evidence_ids	observable_impact	ours_available	artifact_gate_applicable	mandatory_probes_passed	mandatory_probes_total	s_byte	o_byte	elf_byte	bin_byte
L1-FEAT-IDENTITY	GCC-DRIVER	GCC configure/package version	WCH --version/-v literals	patch/config literal identity	5 mandatory four-side units (5 case denominators) executed on OURS-V3.0; judged from PHYSICAL-INSTALL; 0 further units recorded as diagnostics	15.2.0 (g5115c7e44-dirty) target identity	same target/version literals; independent upstream multilib errors remain a control distinction || phase3g measured: 3/5 mandatory units byte-equal to WCH	pristine identity differs from WCH as expected control || phase3g measured: 3/5 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 5/5 mandatory units (5/5 case denominators)	0001/0002 GCC plus literal build controls	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	every mandatory four-side unit reproduces WCH byte for byte on rc/stdout/stderr; this row carries no artifact byte gate	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L1-FEAT-IDENTITY;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L1-FEAT-IDENTITY;tmp/phase3g-evidence/feature/round-2/controls/pre.json	version/config/target diagnostics	true	false	5	5	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-LTO-COMP	GCC-DRIVER	GCC LTO compression configuration	zlib-only support string	no observed delta	3 mandatory four-side units (3 case denominators) executed on OURS-V3.0; judged from PHYSICAL-INSTALL; 2 further units recorded as diagnostics	zlib only	zlib only || phase3g measured: 0/3 mandatory units byte-equal to WCH	zlib only || phase3g measured: 0/3 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 3/3 mandatory units (3/3 case denominators)	none	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	every mandatory four-side unit reproduces WCH byte for byte on rc/stdout/stderr; this row carries no artifact byte gate	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L1-FEAT-LTO-COMP;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L1-FEAT-LTO-COMP;tmp/phase3g-evidence/feature/round-2/controls/pre.json	LTO compression choices	true	false	3	3	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-MULTILIB	GCC-DRIVER	official configure multilib generator	22-row table	literal configure reproduction	26 mandatory four-side units (26 case denominators) executed on OURS-V3.0; judged from PHYSICAL-INSTALL; 0 further units recorded as diagnostics	22 rows and selections	stdout selections match but startup parser errors; unknown-X negative selects different row || phase3g measured: 11/26 mandatory units byte-equal to WCH	pristine negative control || phase3g measured: 11/26 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 26/26 mandatory units (26/26 case denominators)	build configuration	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	every mandatory four-side unit reproduces WCH byte for byte on rc/stdout/stderr; this row carries no artifact byte gate	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L1-FEAT-MULTILIB;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L1-FEAT-MULTILIB;tmp/phase3g-evidence/feature/round-2/controls/pre.json	library-directory selection	true	false	26	26	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-ROUTING	GCC-DRIVER	GCC language/spec dispatch	driver outputs	no dedicated delta beyond XW registration	7 mandatory four-side units (7 case denominators) executed on OURS-V3.0; judged from PHYSICAL-INSTALL; 3 further units recorded as diagnostics	routes C/C++/asm and emits target objects	P2 driver is impaired by multilib parser || phase3g measured: 0/7 mandatory units byte-equal to WCH	pristine control does not accept XW || phase3g measured: 0/7 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 7/7 mandatory units (7/7 case denominators)	0001/0002 GCC	Phase3b NOT-RUN	COVERED-BYTE-EXACT	every mandatory four-side unit, artifacts included, reproduces WCH byte for byte	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L1-FEAT-ROUTING;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L1-FEAT-ROUTING;tmp/phase3g-evidence/feature/round-2/controls/pre.json	target .o bytes	true	true	7	7	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-SEARCH-OPTIONS	GCC-DRIVER	GCC specs/options/search	WCH outputs	mostly upstream; path literals differ by prefix	12 mandatory four-side units (12 case denominators) executed on OURS-V3.0; judged from PHYSICAL-INSTALL; 1 further units recorded as diagnostics	official search/options surface	pristine surface plus startup errors || phase3g measured: 0/12 mandatory units byte-equal to WCH	pristine control || phase3g measured: 0/12 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 12/12 mandatory units (12/12 case denominators)	0001/0002 GCC	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	every mandatory four-side unit reproduces WCH byte for byte on rc/stdout/stderr; this row carries no artifact byte gate	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L1-FEAT-SEARCH-OPTIONS;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L1-FEAT-SEARCH-OPTIONS;tmp/phase3g-evidence/feature/round-2/controls/pre.json	search resolution/options/macros	true	false	12	12	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-ZSTD	GCC-DRIVER + HOST-ZSTD + secondary BFD tools || L4-FEAT-ELF-ZSTD: LD/OBJCOPY/READELF	gcc configure assembler probe; gcc/gcc.cc; config/zstd.m4; bfd/compress.c || L4-FEAT-ELF-ZSTD: config/zstd.m4; bfd/compress.c	WCH zstd spec clause, tool imports, two dylibs || L4-FEAT-ELF-ZSTD: HAVE_ZSTD/imports	OURS lacks assembler spec clause, zstd imports, dylibs || L4-FEAT-ELF-ZSTD: configure capability; no source patch	21 mandatory four-side units (21 case denominators) executed on OURS-V3.0; judged from PHYSICAL-INSTALL; 3 further units recorded as diagnostics	GCC emits SHF_COMPRESSED zstd; BFD tools generate/consume/decode/copy; two runtimes packaged || L4-FEAT-ELF-ZSTD: ld/objcopy/readelf generate/consume/decode	P2 tools report not built with zstd; readelf header listing alone is not decode capability || L4-FEAT-ELF-ZSTD: ld/objcopy fail; readelf warns and emits no DWARF || phase3g measured: 3/21 mandatory units byte-equal to WCH	zstd-matched control succeeds on the valid compressed-debug corpus while pristine XW driver startup remains unavailable || phase3g measured: 16/21 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 21/21 mandatory units (21/21 case denominators)	none; build/packaging change required || L4-FEAT-ELF-ZSTD: none	Phase3b NOT-RUN || L4-FEAT-ELF-ZSTD: Phase3b NOT-RUN at T0	COVERED-BYTE-EXACT	every mandatory four-side unit, artifacts included, reproduces WCH byte for byte	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L1-FEAT-ZSTD;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L1-FEAT-ZSTD;tmp/phase3g-evidence/feature/round-2/controls/pre.json	debug object bytes and tool ability || L4-FEAT-ELF-ZSTD: compressed debug ELF bytes	true	true	21	21	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-CODEGEN	GCC-CC1/CC1PLUS	upstream RISC-V backend	WCH target artifacts	no non-fast backend patch	60 mandatory four-side units (60 case denominators) executed on OURS-V3.0; judged from BACKEND; 0 further units recorded as diagnostics	standard RISC-V lowering	P2 driver aborts on invalid frozen multilib generator; direct cc1 provides 53 successes || phase3g measured: 2/60 mandatory units byte-equal to WCH	direct cc1/cc1plus control is byte-exact; pristine driver rejects the XW multilib input || phase3g measured: 2/60 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 60/60 mandatory units (60/60 case denominators)	nine GCC patches	Phase3b not run	COVERED-BYTE-EXACT	every mandatory four-side unit, artifacts included, reproduces WCH byte for byte	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L2-FEAT-CODEGEN;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L2-FEAT-CODEGEN;tmp/phase3g-evidence/feature/round-2/controls/pre.json	S/O bytes metadata ABI	true	true	60	60	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-ERRATA-AUTO	GCC-CC1	-Q target options and clean GIMPLE	no WCH-specific option/hook observed	no errata patch	165 mandatory four-side units (165 case denominators) executed on OURS-V3.0; judged from BACKEND;ERRATA; 0 further units recorded as diagnostics	06c workarounds live in SDK source/hardware documents unless proven compiler automation	P2 direct O2 GIMPLE/asm equals WCH || phase3g measured: 75/165 mandatory units byte-equal to WCH	four-side constructible matrix executed; expected XW-only rejections are explicit || phase3g measured: 75/165 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 165/165 mandatory units (165/165 case denominators)	no patch	Phase3b not run	COVERED-BEHAVIOR-EXACT	every mandatory four-side unit reproduces WCH byte for byte on rc/stdout/stderr; this row carries no artifact byte gate	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L2-FEAT-ERRATA-AUTO;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L2-FEAT-ERRATA-AUTO;tmp/phase3g-evidence/feature/round-2/controls/pre.json	no automatic workaround observed	true	false	165	165	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-FASTIRQ	GCC-CC1/CC1PLUS/LTO1	gcc/config/riscv/riscv.cc fast-interrupt changes	WCH-Interrupt-fast string plus equal output corpus	attribute handling/frame/save/FCSR/rename changes	29 mandatory four-side units (29 case denominators) executed on OURS-V3.0; judged from BACKEND;ERRATA; 0 further units recorded as diagnostics	scalar fast frames match the existing patch; a vector-enabled fast handler does not software-save v0-v31	P2 direct cc1 warns and treats exact spelling as ordinary function || phase3g measured: 0/29 mandatory units byte-equal to WCH	scalar direct controls are available; vector runtime semantics are not inferred from upstream || phase3g measured: 0/29 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 29/29 mandatory units (29/29 case denominators)	0003+0006+0007+0008 GCC	Phase3b not run	COVERED-BYTE-EXACT	every mandatory four-side unit, artifacts included, reproduces WCH byte for byte	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L2-FEAT-FASTIRQ;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L2-FEAT-FASTIRQ;tmp/phase3g-evidence/feature/round-2/controls/pre.json	fast-interrupt prologue/epilogue, vector saves and the resulting .s/.o bytes reproduce WCH; no residual frame-policy impact is observed	true	true	29	29	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-LTO	GCC-LTO1 || L1-FEAT-LTO-OBJECT: GCC-DRIVER/LTO handoff	upstream LTO serialization plus RISC-V backend || L1-FEAT-LTO-OBJECT: GCC LTO serialization	WCH lto1 and target LTO artifacts || L1-FEAT-LTO-OBJECT: WCH slim LTO object	backend patches visible to lto1 || L1-FEAT-LTO-OBJECT: not attributed in driver lane	13 mandatory four-side units (13 case denominators) executed on OURS-V3.0; judged from BACKEND;PHYSICAL-INSTALL; 1 further units recorded as diagnostics	final link must preserve target behavior || L1-FEAT-LTO-OBJECT: official LTO object	formal driver LTO object is unavailable because pristine XW multilib rejects; supplemental direct cc1+as succeeds || phase3g measured: 0/13 mandatory units byte-equal to WCH	same formal driver limitation; supplemental direct cc1+as succeeds and matches P2/V2 sections || phase3g measured: 0/13 mandatory units byte-equal to WCH	OURS-V3.0 reproduces WCH on 13/13 mandatory units (13/13 case denominators)	0009 GCC plus the nine-patch series	Phase3b not run || L1-FEAT-LTO-OBJECT: Phase3b NOT-RUN	COVERED-BYTE-EXACT	every mandatory four-side unit, artifacts included, reproduces WCH byte for byte	HIGH	tmp/phase3g-evidence/feature/round-2/probe-results.tsv;tmp/phase3g-evidence/feature/round-2/probe-comparisons.tsv::feature_id=L2-FEAT-LTO;tmp/phase3g-evidence/feature/round-2/feature-rollup.tsv::feature_id=L2-FEAT-LTO;tmp/phase3g-evidence/feature/round-2/controls/pre.json	slim LTO objects and the linked ELF/BIN now reproduce WCH byte for byte under a pinned -frandom-seed; no residual LTO byte-gate impact is observed	true	true	13	13	NOT-APPLICABLE	EXACT	EXACT	EXACT
