modification_id	component	source_anchor	wch_binary_anchor	static_delta	dynamic_probe_ids	wch_behavior	upstream_behavior	linux_corroboration	classification	cause	confidence	observable_impact	dynamic_status	degradation	status	evidence_ids
MOD-GDB-XW	gdb embedded opcodes/disassembler	INSN_CLASS_XW; MATCH/MASK_XW_C_*; disassembler option xw	WCH Darwin+Linux xw option/opcode anchors	WCH contains XW class, eight opcode rows, operand handling and option help; pristine GDB 17.1 lacks them	CLEAN-xw-*,CLEAN-halfword-*	43,520/43,520 XW cells decode under explicit xw option; halfword corpus fully classified	43,520/43,520 expected negatives emit .insn/standard overlap	matching static XW anchors in Linux WCH GDB	FUNCTIONAL-DATA-TABLE	WCH opcode/operand table and disassembler-option source additions transplanted into GDB embedded opcodes	HIGH	GDB can display eight QingKe XW compressed forms when explicitly enabled	EXHAUSTIVE-BOUNDED	NONE	CONFIRMED-FUNCTIONAL-DIFF	LGDB-0049,LGDB-0104,LGDBCLEAN-0017,LGDBCLEAN-0018,LGDBCLEAN-0019
MOD-GDB-CUSTOM32	gdb embedded opcodes/disassembler	mcpy,wexti,mrslu,mrsl opcode rows and F5 operand	WCH Darwin+Linux RISC-V mnemonic/opcode anchors	WCH contains four RISC-V custom32 rows/operand handling; pristine GDB 17.1 lacks them	CLEAN-custom32-*,CLEAN-halfword-*	103,250/103,250 pairwise cells decode across five profiles	103,250/103,250 expected negatives emit .insn	matching static custom32 anchors in Linux WCH GDB	FUNCTIONAL-DATA-TABLE	WCH ordinary RISC-V opcode rows plus custom operand printer in GDB embedded opcodes	HIGH	GDB names and formats four WCH 32-bit custom instructions	PAIRWISE-EXHAUSTIVE-BOUNDED	NONE	CONFIRMED-FUNCTIONAL-DIFF	LGDB-0049,LGDB-0104..0105,LGDBCLEAN-0017,LGDBCLEAN-0018,LGDBCLEAN-0019
MOD-GDB-XW-POLICY	gdb disassembler behavior	explicit set disassembler-options xw policy	xw option help and dynamic attribute fixture	XW decode is exposed as a manual display option rather than a new architecture/tdesc	GDB-CLEAN-PROBE-XW-AUTO,GDB-CLEAN-PROBE-XW-EXPLICIT,GDB-CLEAN-PROBE-XW-UPSTREAM	ELF rv32imac_xw2p2 attribute alone does not enable XW; explicit xw does	no xw option or XW decode	xw option literal present	FUNCTIONAL-CODE	WCH disassembler-option gating policy	HIGH	users must manually request XW disassembly	CONFIRMED	NONE	CONFIRMED-FUNCTIONAL-DIFF	LGDB-0049,LGDB-0104..0105,LGDBCLEAN-0022,LGDBCLEAN-0024,LGDBCLEAN-0028
MOD-GDB-LINUX-PYTHON	gdb host capability	configure --with/without-python surface	Linux DT_NEEDED libpython3.8; Darwin --without-python	WCH Linux enables Python while WCH Darwin and matched Darwin upstream control disable it	LGDB-0112,LGDB-0118	Darwin rejects Python; Linux static capability present	matched Darwin build rejects Python	Linux-only capability is the delta itself	CONFIGURE/CAPABILITY	platform-specific configure dependency selection	HIGH	Python scripting availability differs by official host package	DARWIN-DYNAMIC-LINUX-STATIC	Linux binary not executable on Darwin	CONFIRMED-CONFIGURE-CAPABILITY	LGDB-0048,LGDB-0107,LGDB-0117..0118,LGDBCLEAN-0014,LGDBCLEAN-0018,LGDBCLEAN-0019
MOD-GDB-INFO-PACKAGING	share/info/gdb.info	makeinfo split-size/generated install representation	single unsplit WCH gdb.info	WCH ships one file; upstream install ships top file plus nine pieces; 590 parsed nodes and no WCH ISA documentation	LGDB-0170..0172	single generated document	split generated document	Linux also differs in generated bytes but contains no proven WCH feature documentation	PACKAGING/DEPENDENCY	generated Info packaging/splitting configuration	HIGH	distribution representation only	DIRECT-DATA-COMPARE	representation prevents raw one-file byte equality	CONFIRMED-PACKAGING-DEPENDENCY	LGDB-0103,LGDB-0170..0172
MOD-SIM-MCPY-DECODE	riscv simulator decode table	WCH embedded custom32 opcode names/table entries; no execute case in the simulator	existing SIM static anchors and corpus-r3	WCH simulator names all four custom32 mnemonics before rejecting them; exact upstream 17.1 names none of them	CLEAN-wch-custom-mcpy-regular,CLEAN-upstream-custom-mcpy-regular	4/4 rc=4; trace prints UNHANDLED INSN: mcpy|wexti|mrslu|mrsl, i.e. a named decode-table entry is reached	wexti/mrslu/mrsl rc=4 with generic UNHANDLED EXTENSION: 88; mcpy silently livelocks (rc=137 under a 5 s SIGKILL) because step_once leaves pc unchanged on a non-empty hash bucket with no matching entry	WCH common archive name/order and existing cross-host static anchors	FUNCTIONAL-DATA-TABLE	WCH opcode-table decode/name addition without simulator execute semantics	HIGH	the trace face distinguishes all four custom32 words; the stderr face is identical to a generic illegal instruction.  No custom32 execution semantics on either side.	TWO-SIDED-TRACE-COMPARISON-23/23-WITH-4-DELTAS	none: the r1 trace degradation is removed	CONFIRMED-FUNCTIONAL-DIFF	LGDBCLEAN-0013,LGDBCLEAN-0018,LGDBCLEAN-0019,SIMSEM-CUSTOM32,R2UP-0001-configure,R2UP-0002-make-all-sim,R2OPT-0001-wch-run-help,R2OPT-0004-upstream-r2-run-help-named,R2OPT-0005-parse-options-named,R2OPT-0006-option-trigger-matrix,R2TRACE-0001-trace-compare,R2MCPY-0001-upstream-stderr-trace
MOD-SIM-TRACE-CAPABILITY	riscv simulator trace CLI	generated simulator module table/options; gdb-17.1 sim/common/local.mk rule %/stamp-modules	WCH run accepts trace options	RETRACTED by r2: net WCH-side delta is empty.  The r1 delta was an artifact of the r1 control build - the stamp-modules recipe uses a GNU-sed-only script inside a pipeline, so under macOS BSD sed it failed unseen and emitted an empty sim_modules_detected[]; no trace module was installed.  The r2 control registers all five install functions.	CLEAN-TRACE-wch-*,CLEAN-TRACE-upstream-*	accepts trace mode for 23/23 (unchanged from r1)	r2 control accepts trace mode for 23/23; its run --help is byte-identical to the WCH run --help	not dynamically tested	CONFIGURE/CAPABILITY	r1 control-build defect (BSD sed vs GNU sed in the generated stamp-modules recipe), not a WCH source modification	HIGH	none: WCH and a correctly built upstream 17.1 expose the same simulator trace CLI	TWO-SIDED-TRACE-COMPARISON-23/23	none: the r1 documented degradation is removed	RETRACTED-CONTROL-BUILD-ARTIFACT	LGDBCLEAN-0026,LGDBCLEAN-0027,LGDBCLEAN-0028,SIM-UNRES-TRACE-CONTROL,P3ENEG-0022-upstream-module-source-anchors-r2,R2UP-0001-configure,R2UP-0002-make-all-sim,R2OPT-0001-wch-run-help,R2OPT-0004-upstream-r2-run-help-named,R2OPT-0005-parse-options-named,R2OPT-0006-option-trigger-matrix,R2TRACE-0001-trace-compare
MOD-SIM-ARCHIVE-PACKAGING	libriscv32-wch-elf-sim.a	archive format, index/name table, host codegen/debug/layout	three archive-r2 inventories	same 57 names+ordinals on all sides; 0/57 byte-identical payloads; Darwin/Linux archive container conventions differ	N/A	BSD archive index on Darwin; SysV symbol/name tables on Linux	same 57-object universe with Darwin BSD archive index	57/57 name+ordinal correspondence	PACKAGING/DEPENDENCY	host object format, build configuration, codegen, debug/layout and archive packaging	HIGH for structure; no per-byte semantic claim	archive bytes and member payloads differ without adding execution semantics	STRUCTURAL-ONLY	whole-payload member tiling deliberately makes no per-byte semantic attribution	CONFIRMED-PACKAGING-DEPENDENCY	LSIMC-0027,LSIMC-0028,archive-r2
MOD-DARWIN-ZSTD-DEPENDENCY	Darwin gdb/run packaging	@loader_path/libzstd.1.dylib	Darwin Mach-O dependency and initial loader failure	official executables require separately shipped loader-relative zstd dylib	P3E-PROBE-0001..0010,P3E-PROBE-0011..0020	rc=134 when dependency omitted; succeeds once exact dependency is frozen alongside binaries	matched build has a different dependency arrangement	not applicable to ELF package	PACKAGING/DEPENDENCY	Darwin runtime packaging dependency	HIGH	frozen executable needs its adjacent zstd dylib	FAILURE-PRESERVED-THEN-CONTROLLED	dependency is context-only and excluded from the 32-path denominator	CONFIRMED-PACKAGING-DEPENDENCY	T0-008,T0-010,T0-011
MOD-SIM-MODULE-CLI-CAPABILITY	riscv simulator profile/hardware/sockser CLI modules	sim-profile.c profile_options/sim_install_profile; sim-hw.c hw_options/sim_install_hw; dv-sockser.c sockser_options/sim_install_dv_sockser; generated modules.c	15 profile + 6 hardware/device + 1 sockser WCH-only run --help tokens on Darwin; matching implementation strings on WCH Linux	RETRACTED by r2: net WCH-side delta is empty.  r1 already identified the empty generated sim_modules_detected[] on the control side; r2 establishes its cause (BSD-sed failure in the stamp-modules recipe) and removes it.  With the rebuilt control the run --help option universe is 87 common, 0 WCH-only, 0 upstream-only.	NEGPROBE-NEGOPT-RUN-* for RUN-PROFILE/RUN-HW-DEVICE/RUN-SOCKSER	recognizes 43/43 previously WCH-only tokens (unchanged from r1)	r2 control also recognizes 43/43 of the same tokens with the identical disposition	profile and sockser implementation strings are common to WCH Darwin and Linux; token dynamics are Darwin-only	CONFIGURE/CAPABILITY	r1 control-build defect (BSD sed vs GNU sed in the generated stamp-modules recipe), not a WCH source modification	HIGH	none: the profile, hardware/device and socket-serial surfaces are stock upstream 17.1 modules present on both sides	COMPLETE-PARSER-REACHABILITY-BOTH-SIDES-43/43	none	RETRACTED-CONTROL-BUILD-ARTIFACT	P3ENEG-0004-wch-run-help,P3ENEG-0005-upstream-run-help,P3ENEG-0016-option-trigger-matrix,P3ENEG-0022-upstream-module-source-anchors-r2,R2UP-0001-configure,R2UP-0002-make-all-sim,R2OPT-0001-wch-run-help,R2OPT-0004-upstream-r2-run-help-named,R2OPT-0005-parse-options-named,R2OPT-0006-option-trigger-matrix,R2TRACE-0001-trace-compare
