oblig_id	category	source_id	title_zh	evidence_pointer	carried_from	status	terminal_criterion_zh
P3G-OB-001	MISMATCH-CLASS	P3F-MM-ZSTD	zstd 能力面缺失（GCC assembler spec 子句 / BFD zstd / loader-relative 运行时打包）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L122;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L2;/Users/apple/Projects/openwch/tmp/phase3f-evidence/matrix/driver/ours-v2-mismatch-summary.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/matrix/l4/probe-results.tsv	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-002	MISMATCH-CLASS	P3F-MM-FASTIRQ-VECTOR-DEFAULT	WCH-Interrupt-fast 默认向量寄存器保存策略不同（我方多存 v0-v31）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L123;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L3;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/v2-audit-fragment.tsv#L2-ERR-038;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/source-anchor-ledger.tsv	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-003	MISMATCH-CLASS	P3F-MM-SLIM-LTO	slim-LTO 六个 .o 逻辑流差异（.decls 主流 / icf get_hash 字段 / debug 语句前沿）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L124;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L4;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/README.md;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decl-main-diff-ledger.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/icf-field-ledger.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/lto-v2/validation.json	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-004	MISMATCH-CLASS	P3F-MM-NORVC-DIAGNOSTIC	norvc 关闭 XW 指令时诊断类别不同（非法操作数 vs 未识别 opcode）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L125;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L5;/Users/apple/Projects/openwch/tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json;/Users/apple/Projects/openwch/tmp/phase3f-evidence/matrix/gas/surface-matrix/probe-results.tsv	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-005	MISMATCH-CLASS	P3F-MM-ELFEDIT-MMAP	elfedit 的 mmap 门控 x86 feature 选项面缺失（binutils host HAVE_MMAP）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L126;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L6;/Users/apple/Projects/openwch/tmp/phase3f-evidence/matrix/l4/probe-results.tsv#probe_id=ELFEDIT-X86-FEATURE&side_id=OURS-V2;/Users/apple/Projects/openwch/tmp/phase3f-evidence/matrix/l4/probe-results.tsv#probe_id=ELFEDIT-HELP&side_id=OURS-V2	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-006	MISMATCH-CLASS	P3F-MM-HIGHCODE-PARAM	WCH 专有 highcode-gen-section-name 参数与 .highcode 段名/放置语义缺失	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L127;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L7;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/highcode/REPORT.md;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/highcode/validation.json;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/cluster-dispositions.tsv;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validation.json	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-007	MISMATCH-CLASS	P3F-MM-CCV-ABI-PARAM	WCH 专有 ccv-abi 参数缺失（value=1 选择性保存 v1-v7/v24-v31）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L128;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L8;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/ccv-abi/REPORT.md;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/ccv-abi/VERDICT.json	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-008	MISMATCH-CLASS	P3F-MM-IMPLICIT-FUNCTION-DIAGNOSTICS	C99 隐式函数声明默认严重级不同（WCH 警告继续 vs 我方报错中止）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L129;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L9;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/rc02-v2/REPORT.md;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/rc02-v2/validation.json	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-009	MISMATCH-CLASS	P3F-MM-FASTIRQ-EARLY-RETURN	WCH-Interrupt-fast 多出口返回下沉不同（WCH 全部 mret，我方无帧出口用 ret）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L130;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L10;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/REPORT.md;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validation.json	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
P3G-OB-010	MISMATCH-CLASS	P3F-MM-FASTIRQ-NORETURN-REGALLOC	非返回型 fast 中断的硬寄存器分配不同（WCH 用普通 ABI 临时，我方占用 t0）	/Users/apple/Projects/openwch/analysis/toolchain/phase3f-closure.md#L131;/Users/apple/Projects/openwch/analysis/toolchain/phase3f-finding-ledger.tsv#L11;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/REPORT.md;/Users/apple/Projects/openwch/tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validation.json	phase3f-closure	CARRIED	在 T1/T4 冻结的 OURS-V3.x 副本上以四侧（WCH/UPSTREAM-P2/UPSTREAM-MATCHED/OURS）最小矩阵复测本类，判为 CLOSED-BY-CURRENT-SERIES 或 RESIDUAL 并附四侧证据；判 RESIDUAL 时须另附最小复现与修补面，方算终局。
