terminal_class_id	canonical_feature_id	status	provenance	mechanism	gate_impact	repair_surface	evidence	observed_snapshot	current_series_status	lane_occurrences	deduplication_note
P3F-MM-ZSTD	L1-FEAT-ZSTD	GAP	CARRIED	WCH has the GCC assembler zstd spec clause, BFD zstd capability, and loader-relative zstd runtime packaging; frozen OURS-V2 lacks them.	Debug objects and the generation, consumption, decompression, recompression, and decoding surfaces differ.	GCC/binutils configure capability plus loader-relative zstd dependency packaging; no target-ISA source patch.	tmp/phase3f-evidence/matrix/driver/ours-v2-mismatch-summary.tsv;tmp/phase3f-evidence/matrix/l4/probe-results.tsv	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	DRIVER;L4	All zstd rows in driver and L4 are one capability class and count once here.
P3F-MM-FASTIRQ-VECTOR-DEFAULT	L2-FEAT-FASTIRQ	GAP	NEW-V2	For a WCH-Interrupt-fast handler, WCH default does not software-save tested vector clobbers while frozen OURS-V2 saves/restores v0-v31 with dynamic-vlen whole-register slots.	Prologue/epilogue assembly and object bytes differ; Phase 3b RC05 is the same default-vector policy. Hardware nested-vector runtime safety remains outside the byte gate and is a residual risk.	GCC RISC-V WCH-Interrupt-fast default vector register-save/frame policy.	tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/v2-audit-fragment.tsv::L2-ERR-038;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/source-anchor-ledger.tsv	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	ERRATA/BACKEND-SPECIALTY;PHASE3B-RC05	The O0/O2/Os cells and Phase 3b RC05 are repeated observations of one default-policy class.
P3F-MM-SLIM-LTO	L2-FEAT-LTO	GAP	CARRIED-PARTIALLY-ATTRIBUTED-IN-V2	Six slim LTO objects have logical-stream differences: all six .decls main streams differ, four O2/O2+g3 .icf streams differ in the serialized sem_item::get_hash() field, and O2+g3 has a WCH debug statement frontier absent in V2. The exact node-field-versus-order, hash-input, and frontier creation-versus-serialization causes remain unresolved.	The .o byte gate fails even though all six final ELF/BIN pairs and the bounded direct controls are exact; those exact consumers do not waive the object gate or close the three producer-cause questions.	GCC declaration SCC/tree-record production and inputs; sem_item::get_hash() inputs; frontend/GIMPLE debug statement-frontier creation versus serialization. No narrower source patch is justified before those causes close.	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/README.md;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decl-main-diff-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/icf-field-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/validation.json	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	DRIVER;BACKEND	Driver BUILD-LTO and six backend .o artifacts are the same slim-LTO byte-gate class and count once here; its three cause-level STILL-UNRESOLVED rows are attribution sub-obligations, not three additional mismatch classes.
P3F-MM-NORVC-DIAGNOSTIC	L3-FEAT-XW-DIAGNOSTICS	GAP	CARRIED	With an explicit XW instruction disabled by norvc, WCH and frozen OURS-V2 choose different diagnostic categories: illegal operands versus unrecognized opcode.	Raw diagnostic behavior differs; no artifact is produced in this negative probe.	binutils GAS tc-riscv.c:riscv_ip disabled-candidate diagnostic precedence.	tmp/phase3f-evidence/matrix/gas/surface-matrix/summary.json;tmp/phase3f-evidence/matrix/gas/surface-matrix/probe-results.tsv	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	GAS	The one targeted surface mismatch is one canonical diagnostic class.
P3F-MM-ELFEDIT-MMAP	L4-FEAT-ELFEDIT-MMAP	GAP	CARRIED	WCH was configured with the mmap-gated elfedit x86 feature option surface; frozen OURS-V2 omits it.	ELFEDIT-X86-FEATURE is rejected and ELFEDIT-HELP omits the option surface.	binutils host configure HAVE_MMAP capability for elfedit.	tmp/phase3f-evidence/matrix/l4/probe-results.tsv::probe_id=ELFEDIT-X86-FEATURE&side_id=OURS-V2;tmp/phase3f-evidence/matrix/l4/probe-results.tsv::probe_id=ELFEDIT-HELP&side_id=OURS-V2	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	L4	The feature and help rows are corroborating observations of one elfedit capability class.
P3F-MM-HIGHCODE-PARAM	P3F-NEW-HIGHCODE-GEN-SECTION-NAME	GAP	NEW-V2-EXPANDED-BY-PHASE3B-CLUSTERS	WCH-only bounded GCC parameter; value 1 rewrites only exact case-sensitive .highcode declarations to .highcode.<source declaration name> for functions and variables The same WCH .highcode default no-inline/placement policy absorbs Phase 3b RC03, RC06, RC08, and RC09.	OURS-V2 rejects accepted canonical parameter spellings; phase3b RC01 historically blocked 4 EVT projects and 188 member-project gate artifacts The merged Phase 3b clusters cover 45, 3, 1, and 1 projects respectively; their affected-gate counts overlap and are not additive.	GCC parameter registration/diagnostics/help plus declaration section-name selection; preserve default/value 0 and exact-match/source-name semantics	tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/highcode/REPORT.md;tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/highcode/validation.json;tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/cluster-dispositions.tsv;tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validation.json	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	NEW-CANDIDATE-HIGHCODE;PHASE3B-RC01;PHASE3B-RC03;PHASE3B-RC06;PHASE3B-RC08;PHASE3B-RC09	One .highcode policy class: RC01 is its option surface, while RC03/RC06/RC08/RC09 are code-generation consequences of default no-inline, section placement, and resulting emission order; it remains outside the fixed 35-feature denominator.
P3F-MM-CCV-ABI-PARAM	P3F-NEW-CCV-ABI	GAP	NEW-V2	WCH-only bounded GCC parameter; value 1 makes WCH-Interrupt-fast save tested clobbered vector-ABI callee-saved v1-v7 and v24-v31 using vlenb-sized whole-register slots	OURS-V2 rejects accepted 0/1 spellings and cannot select WCH value-1 prologue/epilogue bytes; existing default fast-IRQ mismatch remains separate	GCC parameter registration/diagnostics/help plus RISC-V WCH-fast frame-save decision for the bounded tested register set; retain default/value 0 behavior	tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/ccv-abi/REPORT.md;tmp/phase3f-evidence/agents/binary-analysis/tuning/new-params/ccv-abi/VERDICT.json	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	NEW-CANDIDATE-CCV-ABI	Append-only new candidate; distinct from the default fast-IRQ vector-save class because WCH default equals explicit ccv-abi=0 and ccv-abi=1 is opt-in selective preservation.
P3F-MM-IMPLICIT-FUNCTION-DIAGNOSTICS	P3F-NEW-IMPLICIT-FUNCTION-DIAGNOSTICS	GAP	RECOVERED-OMITTED-PHASE3B-RC02	For a C99 implicit function declaration without an explicit -Werror override, WCH emits its function0/function1 warning diagnostic and continues while frozen OURS-V2 emits an error and stops	Frozen OURS-V2 fails accepted WCH compilation behavior; Phase 3b RC02 affected 5 EVT projects and 417 member-project gate artifacts	GCC C frontend implicit-function-declaration default severity, WCH diagnostic literals, option promotion/demotion behavior, and system-header handling	tmp/phase3f-evidence/agents/binary-analysis/rc02-v2/REPORT.md;tmp/phase3f-evidence/agents/binary-analysis/rc02-v2/validation.json	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	NEW-CANDIDATE-RC02;PHASE3B-RC02	Append-only recovery of Phase 3b RC02; independent C frontend diagnostic/severity class outside the fixed 35-feature denominator.
P3F-MM-FASTIRQ-EARLY-RETURN	P3F-NEW-FASTIRQ-EARLY-RETURN-LOWERING	GAP	RECOVERED-OMITTED-PHASE3B-RC04	For a returning WCH-Interrupt-fast handler with multiple control-flow exits, WCH lowers every exit to mret while frozen OURS-V2 can lower a frame-free exit to ret even though its framed/common exit remains mret	Frozen OURS-V2 emits target instruction bytes different from WCH; Phase 3b RC04 affected 59 EVT projects and 267 member-project gate artifacts	GCC RISC-V WCH-fast epilogue/return lowering across all CFG exits, including frame-free early/tail exits	tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/REPORT.md;tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validation.json	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	NEW-CANDIDATE-RC04;PHASE3B-RC04	Append-only recovery of Phase 3b RC04; independent fast-interrupt CFG exit/return-lowering class outside the fixed 35-feature denominator.
P3F-MM-FASTIRQ-NORETURN-REGALLOC	P3F-NEW-FASTIRQ-NORETURN-REGISTER-ALLOCATION	GAP	RECOVERED-OMITTED-PHASE3B-RC07	For a non-returning WCH-Interrupt-fast handler, WCH uses an ordinary ABI temporary for the final address while frozen OURS-V2 reserves and uses t0	Frozen OURS-V2 emits target instruction bytes different from WCH; Phase 3b RC07 affected 5 EVT projects and 15 member-project gate artifacts	GCC RISC-V WCH-fast hard-register usage/liveness and allocation policy for non-returning handlers; keep distinct from vector-save and return-lowering policies	tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/REPORT.md;tmp/phase3f-evidence/agents/binary-analysis/known-cluster-v2/validation.json	FROZEN-GCC-3+BINUTILS-6	UNTESTED-GCC-9+BINUTILS-6	NEW-CANDIDATE-RC07;PHASE3B-RC07	Append-only recovery of Phase 3b RC07; independent non-returning fast-interrupt hard-register allocation class outside the fixed 35-feature denominator.
