audit_id	semantic_finding_id	source_family	prior_classification	constructibility	fixture	O0_assembly	O0_object	O2_assembly	O2_object	Os_assembly	Os_object	final_verdict	compiler_gate_effect	residual_risk_verdict	change_from_phase3c	reason	evidence_pointer
L2-ERR-001	SEM-06B-503004cc5846ebf38e91fb1e79ecd5a69689ab37a90d5b7dc4ee20ce147902b7	06B	NO-GCC-EVIDENCE	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->INDIVIDUALLY-NOT-APPLICABLE	The observed behavior is a precompiled library authentication policy; C has no operation whose semantics request GCC to invent chip identity or substitute authentication material.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-001
L2-ERR-002	SEM-06B-276b329206d3cd35c58d56d21e5876fc2af09628d0da37978c2592eb821b373e	06B	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-002-tx-recovery-v3v.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only timeout counter, owner-bit clear, retry loop, barrier, or recovery store is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-002;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-002
L2-ERR-003	SEM-06B-b92c157b7b932652373c86d4f9c74c41c2aed6ce54c905c15a748ce475d4c9d4	06B	NO-GCC-EVIDENCE	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->INDIVIDUALLY-NOT-APPLICABLE	The finding is a choice between two precompiled library implementations and exposes no source predicate, target option, attribute, or language operation for a clean GCC input.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-003
L2-ERR-004	SEM-06B-107494dcffed82f21b5d7d5f214f1a29750e98a126df8706be890dd6e4a2efc3	06B	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-004-tx-recovery-v4c.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only timeout counter, owner-bit clear, retry loop, barrier, or recovery store is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-004;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-004
L2-ERR-005	SEM-06B-5ef1529bf33e7e5247284d9bc564c88b46be7baaae40c9bbe8e74ecbcdc1d9d1	06B	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-005-tx-recovery-v4f.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only timeout counter, owner-bit clear, retry loop, barrier, or recovery store is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-005;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-005
L2-ERR-006	SEM-06B-be91aceb9d418da683e52459d81ff514632cc3a8e16ba6aad144e1ccaf9ee223	06B	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-006-tx-recovery-v4b.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only timeout counter, owner-bit clear, retry loop, barrier, or recovery store is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-006;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-006
L2-ERR-007	SEM-06B-0dee7cb0f6caf3be94fe30dc2782a02879de8bd2afce023b5170488715e840a1	06B	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-007-tx-recovery-v5f.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only timeout counter, owner-bit clear, retry loop, barrier, or recovery store is inserted.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-007;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-007
L2-ERR-008	SEM-06B-ecede964f2071d1ad8ec9099db612c39059d2d91daae2dbe37335003832780ed	06B	NO-GCC-EVIDENCE	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->INDIVIDUALLY-NOT-APPLICABLE	The observed behavior is a precompiled library authentication policy; C has no operation whose semantics request GCC to invent chip identity or substitute authentication material.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-008
L2-ERR-009	SEM-06B-7b9940dcc3f054623605b1c16df371876ae79b148db5ef7c2bb33638b3329ec0	06B	NO-GCC-EVIDENCE	CONSTRUCTIBLE	fixtures/L2-ERR-009-rom-mcpy-idiom.c	EXACT	EXACT	EXACT	EXACT	EXACT	EXACT	NO-GAP-OBSERVED	NON-BLOCKING-BOUNDED-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->PER-FINDING-BOUNDED-NO-GAP-OBSERVED	No WCH-only mcpy instruction is selected from the ordinary C copy idiom.	tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/artifacts/L2-ERR-009;tmp/phase3f-evidence/agents/binary-analysis/errata/formal-v1/results.tsv::L2-ERR-009
L2-ERR-010	SEM-06B-c776f4a0ea67ccaddb81a6ab938f9a622b6068996405b13d3b1f46b43e1e8dd3	06B	NO-GCC-EVIDENCE	NOT-APPLICABLE	-	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NO-COMPILER-PROBE	NOT-APPLICABLE	NO-GCC-EVIDENCE->INDIVIDUALLY-NOT-APPLICABLE	The observed behavior is a precompiled library authentication policy; C has no operation whose semantics request GCC to invent chip identity or substitute authentication material.	tmp/phase3f-evidence/agents/binary-analysis/errata/fixture-plan.tsv::L2-ERR-010
