schema_version	finding_id	device_scope	selector_field	affected_revisions	behavior_delta	classification	errata_status	evidence_strength	source_group	source_anchor
1	REV-WCH-001	CH32V30x/V31x	full CHIPID[7:4]	4..7	CAN_Init 在常规初始化前执行额外 CAN/RCC 复位、过滤器状态清理和总线状态序列	REVISION-WORKAROUND-CANDIDATE	candidate-only: no checked manual states the defect	source plus emitted object	V317 peripheral CAN	ch32v30x_can.c:91-169
1	REV-WCH-002	CH32V30x/V31x	full CHIPID[7:4]	4..8	TIM1/8/9/10 初始化额外置 CTLR1 bit13	REVISION-WORKAROUND-CANDIDATE	candidate-only: undocumented bit purpose	source plus emitted object	V317 peripheral TIM	ch32v30x_tim.c:110-116
1	REV-WCH-003	CH32V30x/V31x Ethernet RMII/MII/RGMII	full CHIPID[7:4]	0..2	PHY 状态零值重试、重复状态抑制；漏帧计数异常时重建 MAC 并恢复 DMA	REVISION-WORKAROUND-CANDIDATE	candidate-only: recovery shape without causal document	source; 20 physical copies	V317 ETH three interface modes	eth_driver_{RMII,MII,RGMII}.c
1	REV-WCH-004	CH32V30x/V31x Ethernet RGMII	full CHIPID[7:4]	6..15	千兆链路将 TXC 延迟从 (0,4) 改为 (1,2)	REVISION-COMPATIBILITY	timing tuning; not classified as erratum	source	V317 ETH RGMII	eth_driver_RGMII.c:270-295
1	REV-WCH-005	CH32V30x/V31x internal 10M PHY	full CHIPID[7:4]	2	漏帧时重建 MAC；自动协商失败时切换 P/N 极性	REVISION-WORKAROUND-CANDIDATE	candidate-only: recovery shape without causal document	source plus linked ELF	V317 ETH 10M	eth_driver_10M.c:152-159,460-548
1	REV-WCH-006	CH32V30x/V31x internal 10M PHY	full CHIPID[7:4]	1	RBU 中断时归还下一 Rx 描述符 OWN 并恢复接收 DMA	REVISION-WORKAROUND-CANDIDATE	candidate-only: recovery shape without causal document	source plus linked ELF	V317 ETH 10M	eth_driver_10M.c:845-861
1	REV-WCH-007	CH32H415/H416/H417	full CHIPID[7:4]	0	CAN_Init 在常规初始化前执行三路 CAN/RCC 复位、过滤器状态清理和总线状态序列	REVISION-WORKAROUND-CANDIDATE	candidate-only: no checked manual states the defect	source plus linked ELF	H417 peripheral CAN	ch32h417_can.c:95-191
1	REV-WCH-008	CH32H415/H416/H417	full CHIPID[7:4]	0	GPIO_IPD_Unused 临时开 SWPMI 时钟并置 OR bit0；随后另行屏蔽 revision 做型号/封装 switch	REVISION-WORKAROUND-CANDIDATE	candidate-only: side-by-side revision and model gates	source plus linked ELF	H417 peripheral GPIO	ch32h417_gpio.c:598-607
1	REV-WCH-009	CH32H415/H416/H417 ADC examples	full CHIPID[7:4]	0	ADC1 校准后调用 ADC_HD_CalibrationCmd(DISABLE)	REVISION-WORKAROUND-CANDIDATE	example-only; no causal document	six source copies	H417 dual-ADC examples	six ADC hardware.c files
1	REV-WCH-010	CH32H415/H416/H417 eMMC examples	full CHIPID[7:4]	0	eMMC GPIO 初始化前开 SWPMI 时钟并置 OR bit0	REVISION-WORKAROUND-CANDIDATE	example-only; no causal document	three source copies	H417 eMMC examples	three sdmmc_emmc.c files
1	REV-WCH-011	CH32H415/H416/H417 stop mode example	full CHIPID[7:4]	0/1/2	按 revision 选择三组停止模式低功耗稳压配置	REVISION-COMPATIBILITY	calibration/configuration delta; not necessarily a defect	source	H417 PWR example	Stop_Mode/Common/hardware.c:128-158
1	REV-WCH-012	CH32H415/H416/H417 USBSS/UHSIF	full CHIPID[7:4]	below 3 versus 3 and above	新 revision 使能 RX_SET_FC；旧 revision 软件处理 SET_LINK_FUNC 并更新 U1/U2	REVISION-COMPATIBILITY	feature evolution; no causal defect document	five ID assignments plus three driver copies	H417 USBSS/UHSIF	three ch32h417_usbss_device.c groups
