oblig_id	class_id	verdict_on_v3.0	verdict_on_v3.1	closed_by_zh	evidence_layer_zh	attribution_method_zh	evidence_pointer
P3G-OB-001	P3F-MM-ZSTD	RESIDUAL	CLOSED-ON-V3.1	T3 修复轮（zstd）	四侧原始字节 + 全量 EVT	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-002	P3F-MM-FASTIRQ-VECTOR-DEFAULT	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-003	P3F-MM-SLIM-LTO	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-004	P3F-MM-NORVC-DIAGNOSTIC	RESIDUAL	CLOSED-ON-V3.1	T3 修复轮（norvc）	四侧原始字节 + 全量 EVT	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-005	P3F-MM-ELFEDIT-MMAP	RESIDUAL	CLOSED-ON-V3.1	T3 修复轮（elfedit）	四侧原始字节 + 全量 EVT	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-006	P3F-MM-HIGHCODE-PARAM	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-007	P3F-MM-CCV-ABI-PARAM	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-008	P3F-MM-IMPLICIT-FUNCTION-DIAGNOSTICS	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-009	P3F-MM-FASTIRQ-EARLY-RETURN	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
P3G-OB-010	P3F-MM-FASTIRQ-NORETURN-REGALLOC	CLOSED-BY-CURRENT-SERIES	CLOSED-BY-CURRENT-SERIES	现 series（GCC 0004–0009）	cc1 直调 .s 文本层（端到端字节证据另属 274/274 与全量 EVT）	改动面对应，非逐补丁 bisect	/Users/apple/Projects/openwch/tmp/phase3g-evidence/gap/round-v3.0/gap-status.tsv;/Users/apple/Projects/openwch/tmp/phase3g-evidence/fix/fix-criteria.tsv
