audit_id	semantic_finding_id	source_family	source_row_ids	mcu_scope	revision_or_lot_scope	original_strength	hardware_causality_confirmed	workaround_location	wch_static_hook_or_table	static_evidence	minimal_input	dynamic_probe_ids	wch_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	classification	confidence	positive_evidence	negative_evidence	uncovered_conditions	evidence_ids
L2-ERR-007	SEM-06B-0dee7cb0f6caf3be94fe30dc2782a02879de8bd2afce023b5170488715e840a1	06B	finding-c4e0f0033598572435c414ac8ca9cb8b2132db0ba95d83592ded01dddeadf442,finding-70c1587d833ae875d2fc5754022a9c0878c616a7f8ff20a740e049636ecb0c4a	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/NetLib/libwchnet.a	selector/variant context in 06b row	WORKAROUND-CANDIDATE	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-004	SEM-06B-107494dcffed82f21b5d7d5f214f1a29750e98a126df8706be890dd6e4a2efc3	06B	finding-94aa6ae2f928a1168bc3f0e7a2fac6c3e94525cae76495c554daf1e90c0d898f	tmp/wch-evt/evt/QingkeV4C_CH32V20x_EVT/EXAM/ETH/NetLib/libwchnet.a	selector/variant context in 06b row	WORKAROUND-CANDIDATE	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-002	SEM-06B-276b329206d3cd35c58d56d21e5876fc2af09628d0da37978c2592eb821b373e	06B	finding-d323a323f4cbc6485a0ec710cebfe904edf514dd336f9c1ff7a902abf4ddf4ff,finding-2492699325863f6a68860df2dffb559d444963d7613f919587d59485bb785b46	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/NetLib/libwchnet.a	selector/variant context in 06b row	WORKAROUND-CANDIDATE	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-001	SEM-06B-503004cc5846ebf38e91fb1e79ecd5a69689ab37a90d5b7dc4ee20ce147902b7	06B	finding-c51d5b1f0c90c024d17bc06b1d7b026d81ce5884aad95bd7c65242924530e98d	tmp/wch-evt/evt/QingkeV5F_CH32H417_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	selector/variant context in 06b row	ID-FLOW	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-005	SEM-06B-5ef1529bf33e7e5247284d9bc564c88b46be7baaae40c9bbe8e74ecbcdc1d9d1	06B	finding-c4fce475574c925eb5c9af17d420115e62fe497a4d0f89cb0a978c44b6ad4dd4,finding-22238eac3424f597b145b0695ee8c60572e0e591935f5031d706138e40ee64ae	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet.a	selector/variant context in 06b row	WORKAROUND-CANDIDATE	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-009	SEM-06B-7b9940dcc3f054623605b1c16df371876ae79b148db5ef7c2bb33638b3329ec0	06B	finding-5002b8134b8973244cfcfb9306b83c94d025228a12df5c06c1a367081021af4c	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/LIB/CH587BLE_ROMx.hex	selector/variant context in 06b row	DOCUMENT-ERRATUM-CANDIDATE	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-003	SEM-06B-b92c157b7b932652373c86d4f9c74c41c2aed6ce54c905c15a748ce475d4c9d4	06B	finding-fe2310f8888570eced39c5e097e741140037e8f6f6beac2c5a778585b5438519,finding-a20c2039623e688c7eb9b14d7808cc7d069dbda8211eef51390479f851950f08	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/NetLib/libwchnet_float.a	selector/variant context in 06b row	STATIC-VARIANT-SPECIALIZATION	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-006	SEM-06B-be91aceb9d418da683e52459d81ff514632cc3a8e16ba6aad144e1ccaf9ee223	06B	finding-90a3b4e3521918bc21eaca6d8f9ac68921fb36b7662a1f12a552401d699820a1	tmp/wch-evt/evt/QingkeV4B_CH32V203_EVT/EXAM/ETH/NetLib/libwchnet.a	selector/variant context in 06b row	WORKAROUND-CANDIDATE	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-010	SEM-06B-c776f4a0ea67ccaddb81a6ab938f9a622b6068996405b13d3b1f46b43e1e8dd3	06B	finding-4a9723ea8c183e7044171fe06a9920c907dad4fce31e0822eb383a5524e7093e	tmp/wch-evt/evt/QingkeV4F_CH32V317_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	selector/variant context in 06b row	ID-FLOW	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
L2-ERR-008	SEM-06B-ecede964f2071d1ad8ec9099db612c39059d2d91daae2dbe37335003832780ed	06B	finding-f75e43454ba5fc4bfc6dda696645afba313d3d4a538be6c25086ea81b5278145	tmp/wch-evt/evt/QingkeV3V_CH32V407_EVT/EXAM/ETH/IoCHub/Lib/libwchiochub.a	selector/variant context in 06b row	ID-FLOW	false	RUNTIME-LIBRARY-OR-BINUTILS	NONE-FOUND	target option/source search found no finding-specific GCC hook	tmp/phase3c-backend/fixtures/errata_clean.c	errata_clean_O0,errata_clean_O2,errata_clean_Os,L2-087-errata-clean-gimple	no finding-specific automatic transform observed in bounded clean-C corpus	direct cc1 O2 output equals WCH for bounded clean-C corpus	NOT-RUN-LATE-AVAILABLE	equals WCH for bounded clean-C corpus	NO-GCC-EVIDENCE	MEDIUM	source/manual/runtime behavior retained in frozen lead ledger	no target option, source hook, selector, or inserted sequence in bounded probes	finding-specific clean input and affected silicon runtime not executed	T0-067,T0-068,L2-087-errata-clean-gimple,L2-088-target-option-surface
