feature_id	component	source_anchor	wch_binary_anchor	static_delta	dynamic_probe	official_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	existing_patch	evt_or_phase3b_coverage	status	cause	confidence	evidence_ids	observable_impact	ours_available	artifact_gate_applicable	mandatory_probes_passed	mandatory_probes_total	s_byte	o_byte	elf_byte	bin_byte
L1-FEAT-IDENTITY	GCC-DRIVER	GCC configure/package version	WCH --version/-v literals	patch/config literal identity	ID-VERSION,ID-VERBOSE,ID-DUMPMACHINE,ID-DUMPVERSION	15.2.0 (g5115c7e44-dirty) target identity	same identity plus ten startup XW multilib errors	pristine identity; no XW patch	Four auxiliary identity queries are exact, but the sole mandatory -v row differs because COLLECT_GCC/COLLECT_LTO_WRAPPER embed the invoked install root	0001/0002 GCC plus literal build controls	Phase3b NOT-RUN	UNRESOLVED	Raw mandatory identity output is path-dependent; no same-absolute-executable-path sequential control exists, so exact behavior is not established	HIGH	L1-driver-probes-rerun2,L1-gcc-v-crosslane,L1-final-matched-identity,R1-084	version/config/target diagnostics	true	false	0	1	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-LTO-COMP	GCC-DRIVER	GCC LTO compression configuration	zlib-only support string	no observed delta	ID-VERSION,HASH-LTO	zlib only	zlib only	zlib only	zlib only	none	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	negative-space distinction from ELF debug zstd	HIGH	L1-zstd-help-surfaces,L1-driver-probes-rerun2	LTO compression choices	true	false	1	1	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-MULTILIB	GCC-DRIVER	official configure multilib generator	22-row table	literal configure reproduction	ID-MULTILIB,MULTI-01..22,MULTI-NEG-*	22 rows and selections	stdout selections match but startup parser errors; unknown-X negative selects different row	pristine negative control	OURS selection stdout/rc exact for 22 rows and two negatives	build configuration	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	OURS parser patch makes frozen table usable	HIGH	L1-multilib-selection-summary,L1-driver-probes-rerun2	library-directory selection	true	false	24	24	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-ROUTING	GCC-DRIVER	GCC language/spec dispatch	driver outputs	no dedicated delta beyond XW registration	HASH-C,HASH-CXX,HASH-ASM,BUILD-C,BUILD-CXX,BUILD-ASM	routes C/C++/asm and emits target objects	P2 driver is impaired by multilib parser	pristine control does not accept XW	bounded WCH/OURS C,C++,asm objects byte-exact	0001/0002 GCC	Phase3b NOT-RUN	COVERED-BYTE-EXACT	Three bounded C/C++/assembler target objects are byte-exact; ID-DUMPSPECS was mechanically reassigned to the separate zstd capability GAP	HIGH	L1-driver-probes-rerun2,L1-probe-byte-comparisons-pre-matched,R1-086	target .o bytes	true	true	3	3	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-SEARCH-OPTIONS	GCC-DRIVER	GCC specs/options/search	WCH outputs	mostly upstream; path literals differ by prefix	ID-SEARCHDIRS,ID-SYSROOT,HELP-*,PP-*	official search/options surface	pristine surface plus startup errors	pristine control	OURS bounded target options/macros behavior; absolute prefix outputs inherently side-specific	0001/0002 GCC	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	semantic comparison bounded; absolute roots not byte-comparable	MEDIUM	L1-driver-probes-rerun2	search resolution/options/macros	true	false	8	8	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-ZSTD	GCC-DRIVER + HOST-ZSTD + secondary BFD tools || L4-FEAT-ELF-ZSTD: LD/OBJCOPY/READELF	gcc configure assembler probe; gcc/gcc.cc; config/zstd.m4; bfd/compress.c || L4-FEAT-ELF-ZSTD: config/zstd.m4; bfd/compress.c	WCH zstd spec clause, tool imports, two dylibs || L4-FEAT-ELF-ZSTD: HAVE_ZSTD/imports	OURS lacks assembler spec clause, zstd imports, dylibs || L4-FEAT-ELF-ZSTD: configure capability; no source patch	ID-DUMPSPECS,HASH-GZ-ZSTD,ZSTD-GCC,ZSTD-AS,ZSTD-LD-CANON,ZSTD-READELF-DEBUG,ZSTD-OBJCOPY-* || L4-FEAT-ELF-ZSTD: LD-ZSTD-RELOC,OBJCOPY-ZSTD-COMP,OBJCOPY-ZSTD-DECOMP,READELF-ZSTD-DEBUG	GCC emits SHF_COMPRESSED zstd; BFD tools generate/consume/decode/copy; two runtimes packaged || L4-FEAT-ELF-ZSTD: ld/objcopy/readelf generate/consume/decode	P2 tools report not built with zstd; readelf header listing alone is not decode capability || L4-FEAT-ELF-ZSTD: ld/objcopy fail; readelf warns and emits no DWARF	pristine build has as/ld probe=2 and dumpspecs byte-equal WCH; direct as/ld/readelf/objcopy all succeed; full gcc compile is NOT-PRODUCED because independent pristine XW multilib errors occur before dispatch || L4-FEAT-ELF-ZSTD: matches official on bounded valid corpus	OURS gcc returns 0 but silently emits uncompressed debug; direct tools lack zstd; dylibs absent || L4-FEAT-ELF-ZSTD: T0 original unavailable; frozen replay lacks zstd and fails	none; build/packaging change required || L4-FEAT-ELF-ZSTD: none	Phase3b NOT-RUN || L4-FEAT-ELF-ZSTD: Phase3b NOT-RUN at T0	GAP	CONFIGURE/CAPABILITY plus PACKAGING/DEPENDENCY; no source patch required by matched static/config and direct-tool proof || L4-FEAT-ELF-ZSTD: CONFIGURE/CAPABILITY plus PACKAGING/DEPENDENCY	HIGH	L1-driver-spec-diff,L1-zstd-stderr-matrix,L1-zstd-r3-specific-tools,L1-driver-probes-matched,L1-final-matched-identity,L1-matched-multilib-blocker || L4-FEAT-ELF-ZSTD: L4-052,L4-075,L4-077,L4-078,R1-086	debug object bytes and tool ability || L4-FEAT-ELF-ZSTD: compressed debug ELF bytes	false	true	0	12	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-CODEGEN	GCC-CC1/CC1PLUS	upstream RISC-V backend	WCH target artifacts	no non-fast backend patch	63-case matrix excluding LTO intermediate interpretation	standard RISC-V lowering	P2 driver aborts on invalid frozen multilib generator; direct cc1 provides 53 successes	NOT-RUN-LATE-AVAILABLE	all 60 comparable WCH/OURS non-LTO target rows byte-equal including expected diagnostic absence	three GCC patches	Phase3b not run	COVERED-BYTE-EXACT	no observed residual non-LTO mismatch in corpus	HIGH	L2-074-backend-matrix-rerun,L2-075-matrix-result-audit,L2-080-direct-cc1-controls	S/O bytes metadata ABI	true	true	60	60	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-ERRATA-AUTO	GCC-CC1	-Q target options and clean GIMPLE	no WCH-specific option/hook observed	no errata patch	clean peripheral/mask/DMA/poll at O0/O2/Os plus O2 GIMPLE	06c workarounds live in SDK source/hardware documents unless proven compiler automation	P2 direct O2 GIMPLE/asm equals WCH	NOT-RUN-LATE-AVAILABLE	WCH/OURS/P2 O2 GIMPLE and asm equal; no inserted selector/fence/delay/WFE hook	no patch	Phase3b not run	COVERED-BEHAVIOR-EXACT	bounded negative result; not universal proof	MEDIUM	L2-087-errata-clean-gimple,L2-088-target-option-surface	no automatic workaround observed	true	false	4	4	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-FASTIRQ	GCC-CC1/CC1PLUS/LTO1	gcc/config/riscv/riscv.cc fast-interrupt changes	WCH-Interrupt-fast string plus equal output corpus	attribute handling/frame/save/FCSR/rename changes	21 interrupt cases spanning optimization/debug/relax/save/PIC/shapes/attributes	HPE hardware saves caller GPR/RA; software keeps callee GPR/FPR	P2 direct cc1 warns and treats exact spelling as ordinary function	NOT-RUN-LATE-AVAILABLE	all 21 primary WCH/OURS artifacts byte-equal	0003 GCC	Phase3b not run	COVERED-BYTE-EXACT	patch reproduces bounded WCH fast-interrupt surface	HIGH	L2-050-static-patch-diff,L2-078-fast-interrupt-representatives,L2-080-direct-cc1-controls	prologue epilogue ABI and diagnostics	true	true	21	21	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-LTO	GCC-LTO1 || L1-FEAT-LTO-OBJECT: GCC-DRIVER/LTO handoff	upstream LTO serialization plus RISC-V backend || L1-FEAT-LTO-OBJECT: GCC LTO serialization	WCH lto1 and target LTO artifacts || L1-FEAT-LTO-OBJECT: WCH slim LTO object	backend patches visible to lto1 || L1-FEAT-LTO-OBJECT: not attributed in driver lane	lto_O0,lto_O2,lto_O2_debug || L1-FEAT-LTO-OBJECT: BUILD-LTO	final link must preserve target behavior || L1-FEAT-LTO-OBJECT: official LTO object	P2 driver cannot start because frozen multilib XW rows reject || L1-FEAT-LTO-OBJECT: not produced through impaired P2 driver	NOT-RUN-LATE-AVAILABLE || L1-FEAT-LTO-OBJECT: pristine control	6 slim LTO objects differ; all 3 final ELF and 3 pre-drift BIN pairs equal || L1-FEAT-LTO-OBJECT: OURS slim LTO object differs from WCH in bounded fixture	three GCC patches	Phase3b not run || L1-FEAT-LTO-OBJECT: Phase3b NOT-RUN	UNRESOLVED	intermediate LTO serialization divergence not attributed; BIN comparison captured before external objcopy drift || L1-FEAT-LTO-OBJECT: serialization/metadata divergence handed to L2/L4; no broad claim	MEDIUM	L2-075-matrix-result-audit,L2-076-lto-object-diff,L2-112-verify-frozen-ours-corrected || L1-FEAT-LTO-OBJECT: L1-probe-byte-comparisons-pre-matched	gate .o differs while final outputs equal || L1-FEAT-LTO-OBJECT: gate .o bytes	true	true	6	13	NOT-APPLICABLE	DIFF	EXACT	EXACT
