feature_id	component	source_anchor	wch_binary_anchor	static_delta	dynamic_probe	official_behavior	upstream_p2_behavior	upstream_matched_behavior	ours_behavior	existing_patch	evt_or_phase3b_coverage	status	cause	confidence	evidence_ids	observable_impact	ours_available	artifact_gate_applicable	mandatory_probes_passed	mandatory_probes_total	s_byte	o_byte	elf_byte	bin_byte
L1-FEAT-IDENTITY	GCC-DRIVER	GCC configure/package version	WCH --version/-v literals	patch/config literal identity	ID-VERBOSE same-physical-install-path sequential four-side control	15.2.0 (g5115c7e44-dirty) target identity	same target/version literals; independent upstream multilib errors remain a control distinction	pristine identity differs from WCH as expected control	WCH and OURS-V2 raw gcc -v output is byte-exact when invoked through one physical installation pathname	0001/0002 GCC plus literal build controls	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	same-path sequential control removes only COLLECT_GCC/COLLECT_LTO_WRAPPER install-root literals	HIGH	tmp/phase3f-evidence/matrix/identity-physical/results.tsv;tmp/phase3f-evidence/matrix/identity-physical/summary.json	version/config/target diagnostics	true	false	1	1	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-LTO-COMP	GCC-DRIVER	GCC LTO compression configuration	zlib-only support string	no observed delta	ID-VERSION,HASH-LTO	zlib only	zlib only	zlib only	OURS-V2 retains the same zlib-only GCC LTO compression choice; ELF debug zstd is a separate BFD GAP	none	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	negative-space distinction from ELF debug zstd	HIGH	tmp/phase3f-evidence/matrix/driver/probe-results.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/validation.json	LTO compression choices	true	false	1	1	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-MULTILIB	GCC-DRIVER	official configure multilib generator	22-row table	literal configure reproduction	ID-MULTILIB,MULTI-01..22,MULTI-NEG-*	22 rows and selections	stdout selections match but startup parser errors; unknown-X negative selects different row	pristine negative control	five mandatory V2 driver rows are raw byte-exact; the frozen 22-row selection table remains usable	build configuration	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	OURS parser patch makes frozen table usable	HIGH	tmp/phase3f-evidence/matrix/driver/probe-results.tsv	library-directory selection	true	false	5	5	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-ROUTING	GCC-DRIVER	GCC language/spec dispatch	driver outputs	no dedicated delta beyond XW registration	HASH-C,HASH-CXX,HASH-ASM,BUILD-C,BUILD-CXX,BUILD-ASM	routes C/C++/asm and emits target objects	P2 driver is impaired by multilib parser	pristine control does not accept XW	BUILD-C, BUILD-CXX, and BUILD-ASM V2 target objects are byte-exact	0001/0002 GCC	Phase3b NOT-RUN	COVERED-BYTE-EXACT	Three bounded C/C++/assembler target objects are byte-exact; ID-DUMPSPECS was mechanically reassigned to the separate zstd capability GAP	HIGH	tmp/phase3f-evidence/matrix/driver/probe-results.tsv	target .o bytes	true	true	3	3	NOT-APPLICABLE	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-SEARCH-OPTIONS	GCC-DRIVER	GCC specs/options/search	WCH outputs	mostly upstream; path literals differ by prefix	ID-SEARCHDIRS,ID-SYSROOT,HELP-*,PP-*	official search/options surface	pristine surface plus startup errors	pristine control	bounded options/search behavior remains exact; invoked-root literals are controlled by the physical-path identity run	0001/0002 GCC	Phase3b NOT-RUN	COVERED-BEHAVIOR-EXACT	semantic comparison bounded; absolute roots not byte-comparable	MEDIUM	tmp/phase3f-evidence/matrix/driver/probe-results.tsv;tmp/phase3f-evidence/matrix/identity-physical/results.tsv;tmp/phase3f-evidence/matrix/identity-physical/summary.json	search resolution/options/macros	true	false	8	8	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L1-FEAT-ZSTD	GCC-DRIVER + HOST-ZSTD + secondary BFD tools || L4-FEAT-ELF-ZSTD: LD/OBJCOPY/READELF	gcc configure assembler probe; gcc/gcc.cc; config/zstd.m4; bfd/compress.c || L4-FEAT-ELF-ZSTD: config/zstd.m4; bfd/compress.c	WCH zstd spec clause, tool imports, two dylibs || L4-FEAT-ELF-ZSTD: HAVE_ZSTD/imports	OURS lacks assembler spec clause, zstd imports, dylibs || L4-FEAT-ELF-ZSTD: configure capability; no source patch	ID-DUMPSPECS,HASH-GZ-ZSTD,ZSTD-GCC,ZSTD-AS,ZSTD-LD-CANON,ZSTD-READELF-DEBUG,ZSTD-OBJCOPY-* || L4-FEAT-ELF-ZSTD: LD-ZSTD-RELOC,OBJCOPY-ZSTD-COMP,OBJCOPY-ZSTD-DECOMP,READELF-ZSTD-DEBUG	GCC emits SHF_COMPRESSED zstd; BFD tools generate/consume/decode/copy; two runtimes packaged || L4-FEAT-ELF-ZSTD: ld/objcopy/readelf generate/consume/decode	P2 tools report not built with zstd; readelf header listing alone is not decode capability || L4-FEAT-ELF-ZSTD: ld/objcopy fail; readelf warns and emits no DWARF	zstd-matched control succeeds on the valid compressed-debug corpus while pristine XW driver startup remains unavailable	OURS-V2 lacks the GCC assembler zstd spec clause, BFD zstd capability, and packaged loader-relative zstd dylibs; all 12 mandatory driver rows and four L4 capability rows remain different	none; build/packaging change required || L4-FEAT-ELF-ZSTD: none	Phase3b NOT-RUN || L4-FEAT-ELF-ZSTD: Phase3b NOT-RUN at T0	GAP	CARRIED GAP: binutils/GCC CONFIGURE-CAPABILITY plus PACKAGING-DEPENDENCY	HIGH	tmp/phase3f-evidence/matrix/driver/ours-v2-mismatch-summary.tsv;tmp/phase3f-evidence/matrix/l4/probe-results.tsv	debug object bytes and tool ability || L4-FEAT-ELF-ZSTD: compressed debug ELF bytes	true	true	0	12	NOT-APPLICABLE	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-CODEGEN	GCC-CC1/CC1PLUS	upstream RISC-V backend	WCH target artifacts	no non-fast backend patch	63-case matrix excluding LTO intermediate interpretation	standard RISC-V lowering	P2 driver aborts on invalid frozen multilib generator; direct cc1 provides 53 successes	direct cc1/cc1plus control is byte-exact; pristine driver rejects the XW multilib input	all 60 non-LTO artifact rows are exact or expected-both-absent; rc/stdout/stderr are exact for all 72 OURS-V2 rows	three GCC patches	Phase3b not run	COVERED-BYTE-EXACT	no observed residual non-LTO mismatch in corpus	HIGH	tmp/phase3f-evidence/matrix/backend/matrix/comparisons.tsv;tmp/phase3f-evidence/matrix/backend/direct/comparisons.tsv	S/O bytes metadata ABI	true	true	60	60	EXACT	EXACT	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-ERRATA-AUTO	GCC-CC1	-Q target options and clean GIMPLE	no WCH-specific option/hook observed	no errata patch	44 findings: 28 constructible x O0/O2/Os x four sides; 16 individually NOT-APPLICABLE	06c workarounds live in SDK source/hardware documents unless proven compiler automation	P2 direct O2 GIMPLE/asm equals WCH	four-side constructible matrix executed; expected XW-only rejections are explicit	27/28 constructible findings and 81/84 WCH-versus-V2 cells are exact; the sole compiler mismatch is split into L2-FEAT-FASTIRQ	no patch	Phase3b not run	COVERED-BEHAVIOR-EXACT	per-finding bounded negatives close the generic errata-automation question; vector fastirq is a separate positive GAP	HIGH	tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/v2-audit-fragment.tsv;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/summary.json	no automatic workaround observed	true	false	43	44	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-FASTIRQ	GCC-CC1/CC1PLUS/LTO1	gcc/config/riscv/riscv.cc fast-interrupt changes	WCH-Interrupt-fast string plus equal output corpus	attribute handling/frame/save/FCSR/rename changes	21 historical scalar interrupt cases plus L2-ERR-038 vector non-leaf fast handler at O0/O2/Os	scalar fast frames match the existing patch; a vector-enabled fast handler does not software-save v0-v31	P2 direct cc1 warns and treats exact spelling as ordinary function	scalar direct controls are available; vector runtime semantics are not inferred from upstream	21 scalar cases remain byte-exact, but OURS-V2 saves/restores v0-v31 using vlenb/vs1r.v/vl1re64.v in all three L2-ERR-038 cells while WCH does not	0003 GCC	Phase3b not run	GAP	NEW V2 GAP: GCC RISC-V WCH-Interrupt-fast vector register-save/frame policy	HIGH	tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/v2-audit-fragment.tsv::L2-ERR-038;tmp/phase3f-evidence/agents/binary-analysis/errata/v2-audit/source-anchor-ledger.tsv	prologue/epilogue ABI and target .s/.o bytes; on-device nested vector safety remains out of gate	true	true	21	24	DIFF	DIFF	NOT-APPLICABLE	NOT-APPLICABLE
L2-FEAT-LTO	GCC-LTO1 || L1-FEAT-LTO-OBJECT: GCC-DRIVER/LTO handoff	upstream LTO serialization plus RISC-V backend || L1-FEAT-LTO-OBJECT: GCC LTO serialization	WCH lto1 and target LTO artifacts || L1-FEAT-LTO-OBJECT: WCH slim LTO object	backend patches visible to lto1 || L1-FEAT-LTO-OBJECT: not attributed in driver lane	lto_O0,lto_O2,lto_O2_debug || L1-FEAT-LTO-OBJECT: BUILD-LTO	final link must preserve target behavior || L1-FEAT-LTO-OBJECT: official LTO object	formal driver LTO object is unavailable because pristine XW multilib rejects; supplemental direct cc1+as succeeds	same formal driver limitation; supplemental direct cc1+as succeeds and matches P2/V2 sections	6/6 slim objects differ; all six decompressed .decls main streams differ while decl-state/strings are exact; four O2/O2+g3 decompressed .icf streams differ only in serialized sem_item::get_hash(); bounded no-debug decoder views are exact but do not prove logical equivalence; O2+g3 has WCH BEGIN_STMT 24 versus V2 0; 6/6 final ELF/BIN and 12/12 direct controls are exact	three GCC patches	Phase3b not run || L1-FEAT-LTO-OBJECT: Phase3b NOT-RUN	GAP	PARTIALLY ATTRIBUTED BYTE-GATE GAP: logical stream localization is proven, but decl node-field-versus-order, ICF hash-input cause, and debug-frontier creation-versus-serialization remain STILL-UNRESOLVED	HIGH	tmp/phase3f-evidence/agents/binary-analysis/lto-v2/README.md;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/summary.json;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/decl-main-diff-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/icf-field-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/analysis/unresolved-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/lto-v2/validation.json	gate .o logical bytes differ while bounded final outputs equal; exact decoded views narrow impact but do not waive or resolve the .o gate	true	true	6	13	NOT-APPLICABLE	DIFF	EXACT	EXACT
